Date,case_nor_03d,case_nor_05d,case_05d,Location,Athens,Circleville,Jackson_Pike,Lancaster,Marietta,Marysville,Newark,Southerly,Zanesville,Average_RNA_Conc,Average_PMMoV,Average_crAssphage,Ave_N2,Flowrate_Sample,Rainfall_24hr,WQ_pH,TAVE,WQ_TSS,Weekday,Sewertype,Population,Medium_Income,Poverty,Cmlt_testing_site,Overall_SVI,Socioeconomic_SVI1,Household_SVI2,Minority_SVI3,Transportation _SVI4
10/25/20,24,25,164,Jackson_Pike,0,0,1,0,0,0,0,0,0,8.3,585800,61011650,33302,69100000,0,7.1,20,201,N,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
10/25/20,27,34,8,Lancaster,0,0,0,1,0,0,0,0,0,6.8,4269800,92412400,3395,4700000,0.4,7,18.7,298,N,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
10/25/20,33,41,6,Marietta,0,0,0,0,1,0,0,0,0,3.35,1408000,46292000,16985,1532000,0.05,7.2,21,124,N,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
10/25/20,14,26,6,Marysville,0,0,0,0,0,1,0,0,0,4.65,898900,70320000,16927,4270000,0.03,8.22,17.6,120,N,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
10/25/20,24,26,12,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,9160,5880000,0,7.34,17.3,148,N,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
10/25/20,27,28,182,Southerly,0,0,0,0,0,0,0,1,0,6.6,841850,42330750,23008,92500000,0,7.1,18.15,172,N,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
10/25/20,20,25,12,Zanesville,0,0,0,0,0,0,0,0,1,8.45,300000,64674000,8802,3640000,0.17,7.6,,240,N,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
10/27/20,22,24,6,Athens,1,0,0,0,0,0,0,0,0,5.55,3081600,51024000,7680,1535000,0,7.6,21.5,380,Y,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
10/27/20,24,34,5,Circleville,0,1,0,0,0,0,0,0,0,5.5,1437200,87092000,14098,1430000,0.01,7.56,19.2,184,Y,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
10/27/20,34,30,197,Jackson_Pike,0,0,1,0,0,0,0,0,0,8.3,1073500,281750000,26292,67200000,0.035,6.9,20,201,Y,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
10/27/20,52,55,13,Lancaster,0,0,0,1,0,0,0,0,0,6.8,4269800,92412400,18852,3700000,0.01,7.6,18.9,306,Y,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
10/27/20,35,25,4,Marietta,0,0,0,0,1,0,0,0,0,3.35,1408000,46292000,3750,1742000,0.01,7.2,24,368,Y,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
10/27/20,14,26,6,Marysville,0,0,0,0,0,1,0,0,0,4.65,898900,70320000,16927,4270000,0.03,8.22,17.6,120,Y,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
10/27/20,25,28,12,Newark,0,0,0,0,0,0,1,0,0,6.7,922200,21122000,9650,5980000,0.08,7.46,17.95,148,Y,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
10/27/20,32,32,209,Southerly,0,0,0,0,0,0,0,1,0,6.6,1277000,144331000,24767,90100000,0,7,18.24,166,Y,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
10/27/20,27,27,13,Zanesville,0,0,0,0,0,0,0,0,1,8.45,300000,64674000,4167,2700000,0,7.3,,329,Y,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
11/1/20,34,39,10,Athens,1,0,0,0,0,0,0,0,0,5.8,2500000,17760000,5147,1977000,0,7.6,20,380,N,Separate,24536,32360,47.3,11,0.9425,0.8966,0.046,0.6782,1
11/1/20,24,29,4,Circleville,0,1,0,0,0,0,0,0,0,7.05,2130100,59651400,9336,1560000,0,7.29,18.7,176,N,Separate,13965,42103,22.4,8,0.3448,0.4368,0.1839,0.4713,0.5287
11/1/20,35,38,245,Jackson_Pike,0,0,1,0,0,0,0,0,0,6.65,1668250,140712000,29150,73700000,0,8.01,19,244,N,Combined ,645940,97258.1429,1.13,80,0.6437,0.3563,0.2759,1,0.8161
11/1/20,81,84,20,Lancaster,0,0,0,1,0,0,0,0,0,3.8,1493020,56864200,22750,4400000,0,7.15,18.65,141,N,Combined ,24303,43720,18.5,19,0.3103,0.1034,0.3908,0.8506,0.3563
11/1/20,37,34,5,Marietta,0,0,0,0,1,0,0,0,0,2.65,434400,11064000,4353,1807000,0.02,7.3,19.5,120,N,Separate,15284,38729,26.6,7,0.4183,0.3103,0.7011,0.1494,0.6667
11/1/20,105,97,24,Marysville,0,0,0,0,0,1,0,0,0,3.45,1060820,93323200,15724,3940000,0,7.81,16.7,160,N,Separate,24677,75116,8.2,4,0.069,0.0345,0.1034,0.4943,0.3103
11/1/20,37,38,17,Newark,0,0,0,0,0,0,1,0,0,8,1358440,61636400,15332,6360000,0,7.2,16.2,148,N,Combined ,45000,45039,18.3,11,0.2874,0.2414,0.3563,0.5287,0.2874
11/1/20,42,43,279,Southerly,0,0,0,0,0,0,0,1,0,6.45,1726400,161760000,28667,110100000,0,7,17.97,150,N,Combined ,654817,97258.1429,1.13,82,0.6437,0.3563,0.2759,1,0.8161
11/1/20,29,27,13,Zanesville,0,0,0,0,0,0,0,0,1,7.85,1038800,50958000,13380,3250000,0,7.6,,329,N,Combined ,47500,30345,30.1,10,0.8161,0.8046,0.8046,0.3448,0.8391
